Product_Name,Pricing,Rating
Samsung Galaxy A20 (Gold| 32 GB),Rs.12800,4.314,968
Samsung Galaxy A2 Core (Gold| 16 GB),Rs.5290,4.22,988
Samsung Galaxy A20 (Black| 32 GB),Rs.11490,4.314,968
Samsung Galaxy M20 (Ocean Blue| 32 GB),Rs.10990,4.31,912
Samsung Galaxy M30 (Gradation Black| 64 GB),Rs.12345,4.43,376
Samsung Galaxy M30 (Gradation Black| 128 GB),Rs.15900,4.3264
Samsung Galaxy A10 (Blue| 32 GB),Rs.8600,4.312,576
Samsung Galaxy M20 (Charcoal Black| 64 GB),Rs.12250,4.33,116
Samsung Galaxy M20 (Ocean Blue| 64 GB),Rs.11999,4.33,116
Samsung Galaxy M10 (Charcoal Black| 32 GB),Rs.8599,4.32,063
Samsung Galaxy M10 (Charcoal Black| 16 GB),Rs.8190,4.2270
Samsung Galaxy M20 (Ocean Blue| 32 GB),Rs.11090,4.1727
